id,conversation_id,manual_label,replies
1097924391155822592,1097918122118377472,disgust,it is as if nothing exists outside of fossil fuels pepanz are pushing a substance like drug dealers rather than a service or societal outcome as long as they are tied to the product rather than a service their contribution to the debate is limited
1096532170108297216,1096435275142742016,sadness,this is not good flaring at offshore installations inwas estimated to be million cubic metres of gas per day per cent higher than in ingas flared was equivalent to aboutper cent of uk production
1100393294268428289,1100154569663733760,fear,do not know how the questions or explanations of each category were plaid out for respondents but i am thinkingn hoping praying that perhaps some people lumped climate change in with environment
1096853686729433088,1096419453884133376,anger,cab drivers are just like workers in many other industries subscribers to a broad spectrum of opinion some good some bad undeniably though there is much frustration and anger over council policy governing our livelihoods
1096872493128785920,1096376667117895680,joy,student climate change protest coverage in share send and enjoy this with your friends jbc news student climate change protest in
1100506847033901057,1100410157895315457,anger,when mccain acts like she did today it is unbearable can they not control her i have always loved her father and tried to like her she seems pleasant outside of politics but she genuinely has a lack of knowledge and she makes up for it by being obnoxious and childish
1101198963376570369,1101183662882738176,surprise,tbf debates often v badly attended on whatever subject but look how many more mps on one side of the chamber than the other wonder what that could mean
1099141282256089090,1099140102616465409,disgust,activists excited about an issue and she tells them by how many votes she won her last election she literally went to a camp for environmentally active kids and did not want to hear kids talk about the environment take she has some aoc envy going on
1096849427057311744,1096411802932600832,surprise,uk emissions belowlevels in first carbon budget  met and the uk is currently on track to outperform the second  and third  carbon budgets but is not on track to meet the fourth which covers the period
1098900094722719744,1098900091702792192,joy,the podcast is hosted by an environmental sustainability msc student at who received funding for her podcast series called change the conversation through our student project find out more here
1099527769430450176,1099081974658953216,anger,lying you corrupt bastard people are not fooled by your scare tactics anymore because we now source our new from anyone but mudoch so shove that where the sun do notshine odiot
1097214200290598912,1096841796636692480,anger,i never claimed all of science is wrong what a stupid thing to say ead some science laughing out loud shall we debate the methane myth where do you want to start
1100274773563793411,1098991954447216640,fear,in we can not force people to do things but we can provide and to do things our in a if we want to keep it look out for ways to coming down the pike by s team
1098085679924269061,1097987884097900544,disgust,it is the height of hubrishumansdisregard the demise of indicator species because they are deemed too smallcare about does not anyone wonder why miners did not carry large sexy amp important beasts into the mines people like that do not know the danger until it is too late
1097950825668927488,1097912551038439430,anger,we need classes teaching our children about corrupt politicians creating crisis after crisis for political and monetary gain
1096806266884837377,1096718870721818627,anger,emember commons passed eu ef act before treated with contempt cam claim political promise meant result must be enacted supreme court said must be a vote cam told parliament decision had been made treating parliament with contempt conning them to invoke a
1100697157588406272,1100680643967676417,anger,ecut is an excuse to water down all policies and revoke loads more but i guess we really need to wait and see just how low this shit show can go just the beginning
1099177563593699329,1099140102616465409,sadness,has been out of touch with the reality of of the population for years i am extremely disappointed my district was ignorant enough to re elect her she is actively fighting the people on almost every issue
1100132010348109824,1097045226823139328,anger,sure everyone is going to believe this hollow statement and dismiss decades of scientific evidence by qualified experts ignorance isdangerous and your ideology is so transparent the majority of australians are luckily way smarter than you and your idiotic mob
1098245226425212928,1097912645242507267,joy,besides is not the answer to supply all cattle a grass fed not grain diet that way the manure becomes fertiliser and the grass offsets the methane nature knows best
1099882002222903296,1099877122741399553,anger,if all the required taxes regulations and bans for her plan ever got pushed through pricing most people out of access to such modern conveniences and luxuries it is a safe bet that the government will largely exempt itself while the rich elite will be the least affected
1098862477914169346,1098854368957198336,joy,eally goodare putting up signage and people can learn that their fresh produce comes affected by weather if leave empty space no one knows and ditto if imported
1099190295629987840,1099140102616465409,joy,indeed hell she beat out a heavy weight establishment dem with less than a th of his money she is vey hard working and dedicated and is not easily rattled also pretty smart i would say
1100108963922743298,1100106473173147648,surprise,be careful of using certain phrases which have one meaning for scientists but might mean something entirely different to the general public the two key examples of this are uncertainty and low confidence
1096533576026329088,1096512870945341440,joy,it is so great to see more art science collaboration amp synthesis i would be keen to hear your ideas was your talk recorded or would you be willing to share your slide deck
1100080460217155584,1100009415518900224,fear,carbon emissions up as agenda olls climate change last years jump in emissions is the largest sincerecession and second largest gain in more than two decades by
1100400466121375745,1100388524619190272,disgust,what science activists are not scientists science is not believed but tested listen to physicsts not climate change activists most of which have absolutely no science background or training at all do your research do not listen to propagandists
1097261397451382785,1096749605155467270,anger,disappointing that the police thought it to arrest children for blocking the traffic while apparently taking no action against these far right thugs have they been told to lay off brexiteers i wonder
1098627684094029824,1096905080475774976,anger,sorry misread the intent behind your previous tweet agree on mitigation but again ibd and climate change deniers are treating houltons paper as gospel that climate change is a hoax try to find a retraction
1098339890977296387,1097912551038439430,anger,you realize if you believe in climate change then letting more people in our country would be a bad thing considering the more people you have the more emissions they are creating ight you libs are straight up condradicting yourselves
1099036132703117313,1096394414262575104,surprise,i would be impressed with hs plans if you could could do that straight through in sayhours and make it cheaper than flying too
1100689527771938816,1100680643967676417,fear,environmental protections are some of the most important benefits of eu membership and yet there is little understanding of this within the electorate we have to fight for this tooth and claw or it will be the first thing traded away in a post brexit britain
1100195480682807296,1100154569663733760,anger,and now they are recycling solutions population control is so s they were proven wrong then and they will be proven wrong now
1096539331353808896,1096494783256846339,disgust,gun violence no it is a serious problem climate change no it is a global problem student debt no it is a personal financial issue clean air and water yes opiod abuse yes other than no those are serious problems
1096483857866604544,1096455508750413830,disgust,so the fact that the co levels are higher than they have been in years and they got that high within a hundred years of us building engines which pump out co is entirely a coincidence to you
1098211869284843520,1096749605155467270,joy,what a difference a day makes in politics now the labour breakaway group have been joined by defectors the group and its potential if it manages itself properly and gains extra support has a much different improved dynamic watching events closely
1099342791052877831,1099317917022339077,anger,a major news organization yet again twisting the narrative i am not afan but watch the whole video hot takes from amin edited video that does not portray the whole story clickbait takes should be beneath
1098313110019100673,1098307837002948614,fear,life today is not the same as life s of millions of years ago we adapted to the lower levels an increased rate faster than we adapt will be harmful it would not kill all biota if it is trending down biota evolved with it gradually like it did for millions of years
1098111990336090113,1098001280776060928,disgust,they should not they are clever enough to make a plan that is sustainable the old way of throwing money at a problem does not work concern is for the dedicated small farmers who work long hours every day
1096897715210989568,1096887861704605696,anger,like all the above excepte labour have no plans to reintroduce funding for so how do you suggest we fund our universities
1099389893766189056,1099034040164864000,joy,no worries i would love to know more feel free to message if you prefer great to get everyones diff viewpoints especially less regular travelers compared to more seasoned pros xx
1098606194585989124,1098604310433316865,sadness,family kept the farm going thru the civil war world wars the depression a grape market crash amp threat of fracking now we face the most daunting threat incenturies andgenerations for ny farmers and ny eaters
1099349917829660675,1098972205390524416,anger,i thought the was all our friends is not that how the trickle down works the basis of the tax scam they look out for us and provide for us like cattle
1099289431645868032,1099140102616465409,anger,yes he is a jerk but being ignorant like him is not productive you can disagree and dislike someone and still show respect to me that is being the bigger person
1098482945176698880,1097045226823139328,disgust,you are a goose science is not your strong point so stop using everything science has given you electricity tv internet smartphone basically everything
1100205847077101569,1100154569663733760,fear,climate change is tailor made for inaction in a democracy the pollution invisible and dealing with it costs now for benefits later
1099833569768288256,1097912551038439430,anger,the rich get richer because they are not paying taxes it is that simple and i do believe that wind solar water energy is extremely efficient there are dead zones in the desert parts of the states upon which solar farms can be built and out at sea wind farms can be built
1097931615961997312,1097912551038439430,anger,training we are in the middle of an ice age you mean political taining to brainwash our youth about fawx global warming your indoctrination is not to be confused with education we are on to you chinese spy lady
1099184135396941824,1097912551038439430,disgust,laughing out loud it supposed to lose ie that is how seasons work it then gains ice when the seasons change and ends up not bein losing the net amounts they predicted go figure
1100204492748771334,1100154569663733760,surprise,it might i hope have to do with the way the poll was constructed because i would have put environment as a top concern and i would have factored climate change into that
1100188763660189696,1100169638518841345,anger,eliminate their status as a religious institution if they include politics in their preaching organizing outreach publications broadcasts or from their financial activity they are a lobby and should be fined for fraud and taxed retroactively for every year they did
1100327956101107712,1100154481923231744,sadness,it is disappointing that is only getting the one ev users will be drawn to the city andsherwood where they have several is already attracting the taxis
1098211920883134464,1097929560501485568,anger,in the age of science denial who is dumber than i broecker will be missed as a voice of reason who sought the truth backed by solid investigative science bless his soul damn the blasphemous ignorants
1097018701876850688,1096905080475774976,disgust,what is always tough in never mind are these dependencies on oil amp gas amp the department of offense they are all great polluters
1098211678993506304,1097987884097900544,fear,ising tides global order global warming will produce national extinctions and international insurgencies and change everything you think you know about foreign policy by prof
1100510336766103552,1100429920596045825,anger,politicians amp civil servants can not sort brexit what makes anybody think they are more adept when it comes to climate change most of them are thick as two short planks
1098305532753006592,1097912551038439430,fear,so yeah volcanic eruptions can sometimes dump co into the sky but this is over insanely long  year timescales we are pumping co skywards at a rate unparalleled in the history of the planet and it is the rate that matters
1100471678512103425,1100471665119674368,fear,also our intel community sannual report which finds that is a source of global chaos posing risks that are likely to fuel competition for resources economic distress and social discontent throughand beyond
1099141424207941634,1099060543678283777,surprise,app ie a plug in that filters out headlines that have manually entered combinations of keywords i excuse me klobuchar and comb
