;id;conversation_id;manual_label;replies
11628;1,10066E+18;1,10052E+18;joy;with my experience working withunder the we appreciate technical and financial support to community this can only continue
4494;1,09805E+18;1,09799E+18;anger;so they knew it was down to dozens of individuals what the fuck why did not they collect all of them to preserve the species
10678;1,10043E+18;1,10041E+18;fear;speak for yourself i am young and it is possible for me to be concerned about my career the climate and the possibility of having kids that will enter a broken society
8287;1,09976E+18;1,09906E+18;sadness;are you aware that k on average leave the country each year so this would see our population stabilise over the nextyears
7325;1,09918E+18;1,09791E+18;sadness;these places like antarctica were not always under ice either so even if the most drastic thaw in thousands of years were to happen it still would not be somethin the planet has not been through
6731;1,09899E+18;1,09889E+18;anger;another disturbing chapter in trumps creepy presidency his complete lack of regard for the future is beyond concerning keep polluting the world until it is scorched amp uninhabitable
3136;1,09758E+18;1,09681E+18;disgust;but does she remember the role of the of course not when it suits her obinson is complicit in the covering up of human rights abuses committed by her dear friends in the dubai royal family
8488;1,09983E+18;1,09791E+18;joy;yrs is not happening enguiniety will drive us to be more clean as a society as it has been think about how far we have come from yrs ago w hybrid cars we are at the top of the world in reducing carbon emissions already we are the standard
2593;1,09707E+18;1,09689E+18;joy;people using their creativity and finding their voices on an important national and international issue so important that they are heard and feel they can get involved and have agency
6200;1,09863E+18;1,09862E+18;joy;u not alone i support climate i support i even open a climate defenders social beach club in bocas del panama members requiered toclimate no maga deniers allowed
10465;1,10039E+18;1,10035E+18;joy;well we have a fully fledged team of extension workers and professional veterinary doctors with whom we reach out to local farmers at the grass root level like you see the photos those are some of the farmers under a training thank you
7342;1,09919E+18;1,09914E+18;joy;thanks to you amp all the spirits who understand that we have a responsibility to honour the earth with each breath each step each sip of watery life bestowed upon us from the earth steps up for everyone because stopping is truly in the public interest
3783;1,09792E+18;1,09792E+18;disgust;it is as if nothing exists outside of fossil fuels pepanz are pushing a substance like drug dealers rather than a service or societal outcome as long as they are tied to the product rather than a service their contribution to the debate is limited
1237;1,09653E+18;1,09644E+18;sadness;this is not good flaring at offshore installations inwas estimated to be million cubic metres of gas per day per cent higher than in ingas flared was equivalent to aboutper cent of uk production
10483;1,10039E+18;1,10015E+18;fear;do not know how the questions or explanations of each category were plaid out for respondents but i am thinkingn hoping praying that perhaps some people lumped climate change in with environment
2213;1,09685E+18;1,09642E+18;anger;cab drivers are just like workers in many other industries subscribers to a broad spectrum of opinion some good some bad undeniably though there is much frustration and anger over council policy governing our livelihoods
2287;1,09687E+18;1,09638E+18;joy;student climate change protest coverage in share send and enjoy this with your friends jbc news student climate change protest in
11284;1,10051E+18;1,10041E+18;anger;when mccain acts like she did today it is unbearable can they not control her i have always loved her father and tried to like her she seems pleasant outside of politics but she genuinely has a lack of knowledge and she makes up for it by being obnoxious and childish
12359;1,1012E+18;1,10118E+18;surprise;tbf debates often v badly attended on whatever subject but look how many more mps on one side of the chamber than the other wonder what that could mean
7050;1,09914E+18;1,09914E+18;disgust;activists excited about an issue and she tells them by how many votes she won her last election she literally went to a camp for environmentally active kids and did not want to hear kids talk about the environment take she has some aoc envy going on
2193;1,09685E+18;1,09641E+18;surprise;uk emissions belowlevels in first carbon budget  met and the uk is currently on track to outperform the second  and third  carbon budgets but is not on track to meet the fourth which covers the period
6618;1,0989E+18;1,0989E+18;joy;the podcast is hosted by an environmental sustainability msc student at who received funding for her podcast series called change the conversation through our student project find out more here
8021;1,09953E+18;1,09908E+18;anger;lying you corrupt bastard people are not fooled by your scare tactics anymore because we now source our new from anyone but mudoch so shove that where the sun do notshine odiot
2785;1,09721E+18;1,09684E+18;anger;i never claimed all of science is wrong what a stupid thing to say ead some science laughing out loud shall we debate the methane myth where do you want to start
10144;1,10027E+18;1,09899E+18;fear;in we can not force people to do things but we can provide and to do things our in a if we want to keep it look out for ways to coming down the pike by s team
4626;1,09809E+18;1,09799E+18;disgust;it is the height of hubrishumansdisregard the demise of indicator species because they are deemed too smallcare about does not anyone wonder why miners did not carry large sexy amp important beasts into the mines people like that do not know the danger until it is too late
3936;1,09795E+18;1,09791E+18;anger;we need classes teaching our children about corrupt politicians creating crisis after crisis for political and monetary gain
2031;1,09681E+18;1,09672E+18;anger;emember commons passed eu ef act before treated with contempt cam claim political promise meant result must be enacted supreme court said must be a vote cam told parliament decision had been made treating parliament with contempt conning them to invoke a
11695;1,1007E+18;1,10068E+18;anger;ecut is an excuse to water down all policies and revoke loads more but i guess we really need to wait and see just how low this shit show can go just the beginning
7300;1,09918E+18;1,09914E+18;sadness;has been out of touch with the reality of of the population for years i am extremely disappointed my district was ignorant enough to re elect her she is actively fighting the people on almost every issue
9159;1,10013E+18;1,09705E+18;anger;sure everyone is going to believe this hollow statement and dismiss decades of scientific evidence by qualified experts ignorance isdangerous and your ideology is so transparent the majority of australians are luckily way smarter than you and your idiotic mob
5244;1,09825E+18;1,09791E+18;joy;besides is not the answer to supply all cattle a grass fed not grain diet that way the manure becomes fertiliser and the grass offsets the methane nature knows best
8600;1,09988E+18;1,09988E+18;anger;if all the required taxes regulations and bans for her plan ever got pushed through pricing most people out of access to such modern conveniences and luxuries it is a safe bet that the government will largely exempt itself while the rich elite will be the least affected
6548;1,09886E+18;1,09885E+18;joy;eally goodare putting up signage and people can learn that their fresh produce comes affected by weather if leave empty space no one knows and ditto if imported
7363;1,09919E+18;1,09914E+18;joy;indeed hell she beat out a heavy weight establishment dem with less than a th of his money she is vey hard working and dedicated and is not easily rattled also pretty smart i would say
9036;1,10011E+18;1,10011E+18;surprise;be careful of using certain phrases which have one meaning for scientists but might mean something entirely different to the general public the two key examples of this are uncertainty and low confidence
1249;1,09653E+18;1,09651E+18;joy;it is so great to see more art science collaboration amp synthesis i would be keen to hear your ideas was your talk recorded or would you be willing to share your slide deck
8933;1,10008E+18;1,10001E+18;fear;carbon emissions up as agenda olls climate change last years jump in emissions is the largest sincerecession and second largest gain in more than two decades by
10526;1,1004E+18;1,10039E+18;disgust;what science activists are not scientists science is not believed but tested listen to physicsts not climate change activists most of which have absolutely no science background or training at all do your research do not listen to propagandists
2856;1,09726E+18;1,09675E+18;anger;disappointing that the police thought it to arrest children for blocking the traffic while apparently taking no action against these far right thugs have they been told to lay off brexiteers i wonder
6192;1,09863E+18;1,09691E+18;anger;sorry misread the intent behind your previous tweet agree on mitigation but again ibd and climate change deniers are treating houltons paper as gospel that climate change is a hoax try to find a retraction
5705;1,09834E+18;1,09791E+18;anger;you realize if you believe in climate change then letting more people in our country would be a bad thing considering the more people you have the more emissions they are creating ight you libs are straight up condradicting yourselves
6828;1,09904E+18;1,09639E+18;surprise;i would be impressed with hs plans if you could could do that straight through in sayhours and make it cheaper than flying too
11678;1,10069E+18;1,10068E+18;fear;environmental protections are some of the most important benefits of eu membership and yet there is little understanding of this within the electorate we have to fight for this tooth and claw or it will be the first thing traded away in a post brexit britain
9703;1,1002E+18;1,10015E+18;anger;and now they are recycling solutions population control is so s they were proven wrong then and they will be proven wrong now
1296;1,09654E+18;1,09649E+18;disgust;gun violence no it is a serious problem climate change no it is a global problem student debt no it is a personal financial issue clean air and water yes opiod abuse yes other than no those are serious problems
871;1,09648E+18;1,09646E+18;disgust;so the fact that the co levels are higher than they have been in years and they got that high within a hundred years of us building engines which pump out co is entirely a coincidence to you
5110;1,09821E+18;1,09675E+18;joy;what a difference a day makes in politics now the labour breakaway group have been joined by defectors the group and its potential if it manages itself properly and gains extra support has a much different improved dynamic watching events closely
7684;1,09934E+18;1,09932E+18;anger;a major news organization yet again twisting the narrative i am not afan but watch the whole video hot takes from amin edited video that does not portray the whole story clickbait takes should be beneath
5576;1,09831E+18;1,09831E+18;fear;life today is not the same as life s of millions of years ago we adapted to the lower levels an increased rate faster than we adapt will be harmful it would not kill all biota if it is trending down biota evolved with it gradually like it did for millions of years
4754;1,09811E+18;1,098E+18;disgust;they should not they are clever enough to make a plan that is sustainable the old way of throwing money at a problem does not work concern is for the dedicated small farmers who work long hours every day
2361;1,0969E+18;1,09689E+18;anger;like all the above excepte labour have no plans to reintroduce funding for so how do you suggest we fund our universities
7793;1,09939E+18;1,09903E+18;joy;no worries i would love to know more feel free to message if you prefer great to get everyones diff viewpoints especially less regular travelers compared to more seasoned pros xx
6130;1,09861E+18;1,0986E+18;saness;family kept the farm going thru the civil war world wars the depression a grape market crash amp threat of fracking now we face the most daunting threat incenturies andgenerations for ny farmers and ny eaters
7699;1,09935E+18;1,09897E+18;anger;i thought the was all our friends is not that how the trickle down works the basis of the tax scam they look out for us and provide for us like cattle
7525;1,09929E+18;1,09914E+18;anger;yes he is a jerk but being ignorant like him is not productive you can disagree and dislike someone and still show respect to me that is being the bigger person
5940;1,09848E+18;1,09705E+18;disgust;you are a goose science is not your strong point so stop using everything science has given you electricity tv internet smartphone basically everything
9805;1,10021E+18;1,10015E+18;fear;climate change is tailor made for inaction in a democracy the pollution invisible and dealing with it costs now for benefits later
8496;1,09983E+18;1,09791E+18;anger;the rich get richer because they are not paying taxes it is that simple and i do believe that wind solar water energy is extremely efficient there are dead zones in the desert parts of the states upon which solar farms can be built and out at sea wind farms can be built
3816;1,09793E+18;1,09791E+18;anger;training we are in the middle of an ice age you mean political taining to brainwash our youth about fawx global warming your indoctrination is not to be confused with education we are on to you chinese spy lady
7330;1,09918E+18;1,09791E+18;disgust;laughing out loud it supposed to lose ie that is how seasons work it then gains ice when the seasons change and ends up not bein losing the net amounts they predicted go figure
9795;1,1002E+18;1,10015E+18;surprise;it might i hope have to do with the way the poll was constructed because i would have put environment as a top concern and i would have factored climate change into that
9626;1,10019E+18;1,10017E+18;anger;eliminate their status as a religious institution if they include politics in their preaching organizing outreach publications broadcasts or from their financial activity they are a lobby and should be fined for fraud and taxed retroactively for every year they did
10255;1,10033E+18;1,10015E+18;sadness;it is disappointing that is only getting the one ev users will be drawn to the city andsherwood where they have several is already attracting the taxis
5111;1,09821E+18;1,09793E+18;anger;in the age of science denial who is dumber than i broecker will be missed as a voice of reason who sought the truth backed by solid investigative science bless his soul damn the blasphemous ignorants
2508;1,09702E+18;1,09691E+18;disgust;what is always tough in never mind are these dependencies on oil amp gas amp the department of offense they are all great polluters
5109;1,09821E+18;1,09799E+18;fear;ising tides global order global warming will produce national extinctions and international insurgencies and change everything you think you know about foreign policy by prof
11303;1,10051E+18;1,10043E+18;anger;politicians amp civil servants can not sort brexit what makes anybody think they are more adept when it comes to climate change most of them are thick as two short planks
5514;1,09831E+18;1,09791E+18;fear;so yeah volcanic eruptions can sometimes dump co into the sky but this is over insanely long  year timescales we are pumping co skywards at a rate unparalleled in the history of the planet and it is the rate that matters
11118;1,10047E+18;1,10047E+18;fear;also our intel community sannual report which finds that is a source of global chaos posing risks that are likely to fuel competition for resources economic distress and social discontent throughand beyond
7052;1,09914E+18;1,09906E+18;surprise;app ie a plug in that filters out headlines that have manually entered combinations of keywords i excuse me klobuchar and comb
